"","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
"1",1.62924053973028,3.5,1.4,0.2,"setosa"
"2",1.58923520511658,3,1.4,0.2,"setosa"
"3",1.54756250871601,3.2,1.3,0.2,"setosa"
"4",1.52605630349505,3.1,1.5,0.2,"setosa"
"5",1.6094379124341,3.6,1.4,0.2,"setosa"
"6",1.68639895357023,3.9,1.7,0.4,"setosa"
"7",1.52605630349505,3.4,1.4,0.3,"setosa"
"8",1.6094379124341,3.4,1.5,0.2,"setosa"
"9",1.48160454092422,2.9,1.4,0.2,"setosa"
"10",1.58923520511658,3.1,1.5,0.1,"setosa"
"11",1.68639895357023,3.7,1.5,0.2,"setosa"
"12",1.56861591791385,3.4,1.6,0.2,"setosa"
"13",1.56861591791385,3,1.4,0.1,"setosa"
"14",1.45861502269952,3,1.1,0.1,"setosa"
"15",1.75785791755237,4,1.2,0.2,"setosa"
"16",1.7404661748405,4.4,1.5,0.4,"setosa"
"17",1.68639895357023,3.9,1.3,0.4,"setosa"
"18",1.62924053973028,3.5,1.4,0.3,"setosa"
"19",1.7404661748405,3.8,1.7,0.3,"setosa"
"20",1.62924053973028,3.8,1.5,0.3,"setosa"
"21",1.68639895357023,3.4,1.7,0.2,"setosa"
"22",1.62924053973028,3.7,1.5,0.4,"setosa"
"23",1.52605630349505,3.6,1,0.2,"setosa"
"24",1.62924053973028,3.3,1.7,0.5,"setosa"
"25",1.56861591791385,3.4,1.9,0.2,"setosa"
"26",1.6094379124341,3,1.6,0.2,"setosa"
"27",1.6094379124341,3.4,1.6,0.4,"setosa"
"28",1.64865862558738,3.5,1.5,0.2,"setosa"
"29",1.64865862558738,3.4,1.4,0.2,"setosa"
"30",1.54756250871601,3.2,1.6,0.2,"setosa"
"31",1.56861591791385,3.1,1.6,0.2,"setosa"
"32",1.68639895357023,3.4,1.5,0.4,"setosa"
"33",1.64865862558738,4.1,1.5,0.1,"setosa"
"34",1.70474809223843,4.2,1.4,0.2,"setosa"
"35",1.58923520511658,3.1,1.5,0.2,"setosa"
"36",1.6094379124341,3.2,1.2,0.2,"setosa"
"37",1.70474809223843,3.5,1.3,0.2,"setosa"
"38",1.58923520511658,3.6,1.4,0.1,"setosa"
"39",1.48160454092422,3,1.3,0.2,"setosa"
"40",1.62924053973028,3.4,1.5,0.2,"setosa"
"41",1.6094379124341,3.5,1.3,0.3,"setosa"
"42",1.50407739677627,2.3,1.3,0.3,"setosa"
"43",1.48160454092422,3.2,1.3,0.2,"setosa"
"44",1.6094379124341,3.5,1.6,0.6,"setosa"
